;Norway;Sweden;Denmark;Finland;Europe
2021-01-01;100.0;;;;
2021-01-04;99.3408454373738;101.10703350864652;101.52951534634205;100.5429390665373;100.33073995676455
2021-01-05;99.243144662281;100.93949027598495;100.05801374584519;100.28869531088169;99.86517068996578
2021-01-06;100.71256431967694;;99.47514622876525;;101.64497387858044
2021-01-07;102.26274995114962;103.45381226196699;100.53236143246176;103.31628926223522;101.96417312196002
2021-01-08;103.37002540220152;103.98081867352273;101.36366428469051;103.15035487282361;102.60116420464782
2021-01-11;102.29401419917932;103.56028035887644;100.78147928226758;102.24785495459155;101.91350657539182
2021-01-12;103.1576890509998;104.47411374377246;99.18849007282431;103.53629951048266;101.67452936407855
2021-01-13;102.21585357910506;104.66854070431098;99.88192496433861;102.97853319232908;101.7978179607278
2021-01-14;103.04044812088843;105.19992105571973;100.30098896373799;103.704632425891;102.4975792649973
2021-01-15;102.10121800299616;104.26539146761684;99.63144208521878;102.80518517710935;101.32042649972978
2021-01-18;102.73692437960008;104.67723524328707;99.90376543336268;103.35139496091494;101.4082485137813
2021-01-19;103.98749430078813;104.43336142611776;101.26265211545417;103.26264949903515;101.20417492343722
2021-01-20;103.96274343776462;105.52780652250446;101.17460772470088;104.65597505532965;102.00977301387138
2021-01-21;103.82075164462972;106.00205895217469;101.37117194591754;105.31818627825083;101.84961043055306
2021-01-22;102.96489285481665;105.9473847040123;101.16710006347385;104.53931947276038;101.40093001261035
2021-01-25;101.65179443756921;105.35103534356763;101.67693851225455;104.7405776086696;100.01407404071338
2021-01-26;100.94965153390217;106.23638477868931;100.62927851375608;105.25626069797107;101.13127139254189
2021-01-27;99.28483032632059;105.41173709421038;98.30463359200638;105.75777067910994;99.54231219600072
2021-01-28;99.49195596951736;105.15607497572996;98.98987830763666;103.60781919474941;100.12385155827779
2021-01-29;99.8019930958119;103.95004107236203;96.88022550284266;103.25414563413759;97.99585660241398
2021-02-01;100.35563082133785;105.49761566937282;98.49778523993803;103.66145895794949;99.38665330571068
2021-02-02;101.77164072168306;106.06750802777985;99.999317485343;103.87340143693513;101.06456043956044
