;Energy;Industrials;Technology;Financials;Consumer Non-Cyclicals
2021-01-01;100.0;100.0;100.0;100.0;100.0
2021-01-04;100.77429564529346;98.65431437721628;100.02070479108865;97.512304319161;98.2043795620438
2021-01-05;101.78879249441886;97.04090601416405;100.42237773820862;96.99559957682341;98.09555408095554
2021-01-06;104.08342046514257;98.50883485042885;100.36026336494264;99.61668787660416;98.74054412740544
2021-01-07;107.44623731878939;98.0026873301476;101.18845500848896;100.59490041551034;99.22893165228932
2021-01-08;109.53740074038488;99.236232484366;101.68951095283448;101.40752211710951;100.44591904445919
2021-01-11;108.048153276627;97.41571785053999;101.59426891382665;100.42394320847579;99.80358327803583
2021-01-12;111.59182750727668;98.64522190679207;100.6294256490952;100.97207954493184;100.57597876575979
2021-01-13;111.02099641111143;97.95621470353494;100.7743591867158;99.32230416583616;98.18314532183145
2021-01-14;112.13439963828525;98.14513603346029;100.61286181622427;101.87439628340564;97.44658261446583
2021-01-15;110.5773306581513;97.25508420637887;100.65427139840159;101.04797534536422;97.61380225613803
2021-01-18;110.47842428010286;97.68344059080852;101.81788065758415;102.17951273362873;98.10218978102189
2021-01-19;112.3802526351485;98.92708848994272;103.03946333181497;102.93233774397817;99.78102189781022
2021-01-20;112.10896656964422;98.06027297616762;104.42254337653733;103.3792796798577;98.62375580623755
2021-01-21;110.82318365501455;99.45950314700504;103.36245807279805;103.54410389291792;99.64299933643
2021-01-22;108.91852940345325;98.87758503985532;102.63779038469501;103.554836632373;98.96615792966158
2021-01-25;107.18342894283211;97.09950193467564;102.13259348213177;101.95182533233161;98.16456536164566
2021-01-26;106.54195043377511;96.60648798278491;100.8654602675059;101.50794989343922;97.55540809555409
2021-01-27;103.38259812925651;94.10302779265126;98.34361671290736;100.93298170834547;98.75381552753815
2021-01-28;103.53519654110266;93.46756513744783;97.37463248995817;101.08400668496343;99.07498341074984
2021-01-29;103.38259812925651;93.40795894244467;98.52995983270529;101.26339675871267;99.02720637027207
2021-02-01;103.41368299092888;94.90619601345685;98.83639074081742;101.28562886186964;100.50696748506968
2021-02-02;105.75635120241897;96.034672620551;101.08079009482793;102.94153723493966;101.45321831453218
2021-02-03;106.49108429649306;96.17611104937211;102.84069733736386;103.91208353137793;101.56602521566025
2021-02-04;106.73128550032497;96.54688178778174;104.49293966623877;105.20614525996227;101.0444591904446
2021-02-05;106.60977195015118;96.09023771758787;104.90703548801193;103.98721270756351;101.20238885202389
2021-02-08;107.54514369683783;95.47498055221604;106.60068739906414;104.35212584903634;100.7471798274718
2021-02-09;106.64368270833921;95.33354212339492;107.34191892003811;103.64989803897517;99.60583941605839
2021-02-10;106.12089185294035;95.16078518533484;106.11205432937182;102.46009720795449;100.60252156602522
2021-02-11;106.41478509056998;96.39028924158694;105.79734150482422;103.3248493583355;99.94956867949568
2021-02-12;105.41724362053861;97.92590646878756;106.66694273054783;102.5053280385152;100.31585932315859
2021-02-15;107.15799587419109;97.59049533758322;106.09134953828315;103.13702641787154;99.51957531519575
2021-02-16;107.9464210020629;98.64118080882575;105.95469791709802;103.91744990110547;99.88586595885866
2021-02-17;107.32754966513126;96.798440136185;104.77866578326224;103.76949142147467;99.5965494359655
2021-02-18;102.9926244100941;94.66069931200306;103.13056441260507;103.205255975836;99.45587259455873
2021-02-19;103.69344674598015;95.73159027307719;104.03743426228829;104.19496787844406;102.60119442601194
2021-02-22;105.11487269336197;95.14260024448642;103.88007785001449;104.46175311632756;105.07763769077637
2021-02-23;105.48789103343036;94.97691522786741;101.99180090272888;106.35454838165622;105.13868613138686
2021-02-24;107.6129652132139;97.37631714536839;102.02078761025301;106.92951656674997;105.30059721300597
2021-02-25;109.9075931839376;96.30845700776901;103.16369207834693;108.32630594440441;106.31187790311878
2021-02-26;106.45434764178935;94.74960346726205;101.71849766035861;106.91265083332055;104.19774386197744
2021-03-01;109.0343911605957;95.87605952537304;103.22166549339516;109.01703439076371;107.24485733244857
2021-03-02;108.5229038912595;96.39635088853642;105.4536419727525;109.68246423697889;107.23689449236895
2021-03-03;107.12973690903439;95.69319984239718;104.7331152428672;111.1635822817804;107.17584605175846
2021-03-04;106.92627235990618;95.32040855500439;103.95047413971592;111.77611505496695;107.22893165228932
2021-03-05;111.15663944386357;93.91410646272593;103.3707399892335;113.01267996504193;107.8699402786994
2021-03-08;109.99519597592337;93.77165775941323;103.07673195577456;115.03656797657196;109.93895155938952
2021-03-09;110.47842428010286;96.78631684228604;106.81601722638618;114.2500114993637;108.84804246848043
2021-03-10;111.62008647243337;96.83582029237343;106.48474056896764;115.28802072951963;108.38221632382216
2021-03-11;113.05281600587786;96.90249840881768;106.04165803967038;115.01433587341499;106.81486396814864
2021-03-12;113.15454828044197;96.81662507703342;104.52606733198061;116.67791048895293;106.43530192435301
2021-03-15;112.79283352643625;96.98028954466928;105.1140833988985;117.06888885481669;107.68679495686796
2021-03-16;110.45299121146184;97.48643706495054;105.78491863017102;117.55109550604865;107.77571333775714
2021-03-17;109.82281628846752;97.3025671074831;104.07884384446561;117.56029499701016;108.03317850033179
2021-03-18;109.24350750275525;97.98753321277391;104.12439438486065;118.13986292758467;106.94890510948905
2021-03-19;107.74295645293469;99.03922895850802;104.27346888069899;117.91294215053433;106.28135368281353
2021-03-22;108.2261847571142;99.38373256013658;105.90914737670296;116.5981815672866;106.12209688122097
2021-03-23;105.82982451182637;99.14227695664911;106.49716344362085;114.06602168013369;105.62972793629729
2021-03-24;107.4349337327267;98.0269339179455;105.64826700898587;115.41144723325309;105.45985401459853
2021-03-25;104.9622742815158;97.6450501601285;103.36659903101577;114.39873660324128;104.76841406768413
2021-03-26;107.4631926978834;98.7755473162058;104.32316037931177;116.18190460127872;105.91904445919045
2021-03-29;108.50594851216549;98.92506794095955;103.5280964015073;116.6817436101869;107.0484406104844
2021-03-30;108.21488117105152;98.38962246042249;102.43074247380844;116.96922770273378;107.57398805573987
2021-03-31;108.2996580665216;98.45832112584989;102.95664416746034;116.85960043544256;107.7398805573988
2021-04-01;108.2996580665216;98.45832112584989;102.95664416746034;116.85960043544256;107.7398805573988
2021-04-02;108.2996580665216;98.45832112584989;102.95664416746034;116.85960043544256;107.7398805573988
2021-04-05;108.2996580665216;98.45832112584989;102.95664416746034;116.85960043544256;107.7398805573988
2021-04-06;110.50950914177523;102.46911085741996;105.7435090479937;117.21454746170711;108.44724618447246
2021-04-07;108.83092661146749;102.6681349322611;104.80765249078637;117.48899894205853;108.1950895819509
2021-04-08;106.89518749823381;103.22176535364657;105.18862064681767;116.99682617561828;108.12475116124752
2021-04-09;106.10676237036199;103.71275875655415;104.53020829019835;117.07195535180387;108.60384870603849
2021-04-12;105.74504761635629;102.97929947566753;102.72060954904964;117.76421704665674;106.38752488387524
2021-04-13;105.35789979370955;104.05221098572481;104.61716841277071;117.45833397218686;107.16390179163902
2021-04-14;106.40913329753865;104.35630360769021;105.23003022899499;117.06658898207633;104.90776376907763
2021-04-15;107.93229151948455;104.10171443581221;105.88016066917885;118.60213734840005;103.75315195753151
2021-04-16;107.7599118320287;106.41019164907105;107.18042154954657;120.40830407384124;104.53749170537492
2021-04-19;107.16929946025377;105.29282806138427;106.61725123193509;119.49908771714631;104.53218314532184
2021-04-20;104.86619379998304;105.0857217906105;104.17408588347344;117.01445853329449;104.85335102853351
2021-04-21;104.46209059824228;103.45311821221826;102.96078512567807;116.44792321491543;104.2733908427339
2021-04-22;105.71961454771527;105.61207480072336;104.6420141620771;116.65031201606844;104.90112806901128
2021-04-23;106.24240540311413;106.47484921653212;106.6213921901528;117.08038821851856;104.83609820836098
2021-04-26;107.85034052053014;107.00221250113657;107.26738167211894;118.3951488017663;106.58128732581288
2021-04-27;107.42363014666402;106.30916419991311;107.7353099507226;118.19276000061329;106.82813536828135
2021-04-28;109.19546726198887;107.4204661406504;106.96509172222451;118.68186627006638;108.26542800265428
2021-04-29;110.31169638567836;106.77490074053121;107.36262371112674;118.89115468944051;106.9608493696085
2021-04-30;107.89555486478085;107.24871947708192;107.29636837964304;116.68787660416123;106.24950232249502
2021-05-03;108.07076044875237;108.56409686511823;107.76843761646444;117.27587740145044;107.14266755142667
2021-05-04;106.70585243168395;106.8334966610428;103.66060706447472;117.85697858051854;109.07365627073656
2021-05-05;108.50877440868115;107.67202448905367;103.31276657418526;117.76728354364391;109.52355673523557
2021-05-06;106.11806595642467;104.71090995423457;101.29611992214998;117.99343769644746;109.79429329794293
2021-05-07;108.96939554073529;105.83635573785395;103.43699532071722;119.07974425415127;110.93032514930326
2021-05-10;109.56283380902592;105.44133841164644;101.48246304194791;118.95018475644348;110.04246848042469
2021-05-11;106.42043688360133;104.28053302082175;97.61066710836887;117.391637662716;108.70603848706038
2021-05-12;106.72845960380931;102.85200488972853;96.97295954283821;117.30500912282854;106.52820172528202
2021-05-13;106.72845960380931;102.85200488972853;96.97295954283821;117.30500912282854;106.52820172528202
2021-05-14;107.55362138638483;103.14397421779498;98.02476293014203;118.7071648702105;106.00398142003982
2021-05-17;107.55362138638483;103.14397421779498;98.02476293014203;118.7071648702105;106.00398142003982
2021-05-18;108.99482860937633;105.29080751240112;98.78669924220465;119.3810275831404;105.83012607830126
2021-05-19;105.79591375363835;104.37953992099654;97.24212182699077;117.64692353689762;105.74784339747843
2021-05-20;106.68324525955859;106.02426679328774;100.91101080790095;119.41399242575244;107.64963503649635
2021-05-21;109.01178398847034;108.07613428568541;102.58809888608224;120.98020576194783;109.53682813536828
2021-05-24;109.01178398847034;108.07613428568541;102.58809888608224;120.98020576194783;109.53682813536828
2021-05-25;108.17249272331647;108.65098047139408;104.12439438486065;120.19671578172674;108.77903118779031
2021-05-26;108.37030547941335;108.7974702726731;104.44324816762598;118.77692767666855;109.68944923689449
2021-05-27;108.94678836860994;108.43579200468767;104.82007536543956;120.33624139464283;109.63636363636364
